S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'6311',10.73796545,40.77410121,18.17750491,0.0529,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.73796545,40.77410121,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6312',10.64491415,40.89848034,16.68950491,0.0231,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.64491415,40.89848034,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.947839,0,0
'6312',10.64491415,40.89848034,16.68950491,0.0231,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.64491415,40.89848034,'471',10.64480074,40.89844784,16.66050491,0.0326,0.33003852,0.33003852,2,11.73113,0.947839,0.947839,0.947839,1,1
'6313',10.64527104,40.90072895,18.37550491,0.086,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.64527104,40.90072895,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9392472,0,0
'6313',10.64527104,40.90072895,18.37550491,0.086,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.64527104,40.90072895,'5775',10.64515222,40.90068064,18.14550491,0.0767,0.36712256,0.36712256,2,11.660954,0.9392472,0.9392472,0.9392472,1,1
'6314',10.66105056,40.89329005,16.16650491,0.0382,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.66105056,40.89329005,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9576986,0,0
'6314',10.66105056,40.89329005,16.16650491,0.0382,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.66105056,40.89329005,'5211',10.66097594,40.89323942,16.03250491,0.0289,0.2728697,0.2728697,2,11.824686,0.95751834,0.95751834,0.9576986,0.9955697,1
'6314',10.66105056,40.89329005,16.16650491,0.0382,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.66105056,40.89329005,'11702',10.66077721,40.89346296,19.25250491,0.317,0.96996564,0.96996564,2,9.473048,0.0911582,0.0911582,0.9576986,0.0044303057,0
'6315',10.65907651,40.89486087,16.88350491,0.058,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.65907651,40.89486087,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9523931,0,0
'6315',10.65907651,40.89486087,16.88350491,0.058,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.65907651,40.89486087,'6961',10.65896412,40.89486098,16.72550491,0.0586,0.30584535,0.30584535,2,11.772887,0.9523931,0.9523931,0.9523931,1,1
