S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'54',10.73344849,40.88060148,16.58550491,0.0363,'6093',10.73339091,40.88059321,16.70450491,0.0385,0.15952803,0.15952803,2,12.352539,0.98686385,0.98686385,0.98686385,1,1,2,10.7334197,40.880597345,'7130',10.73337294,40.88061742,16.72450491,0.0391,0.14636184,0.14636184,2,12.396266,0.98824185,0.98824185,0.98824185,1,1
'55',10.7778498,40.82535827,18.14350491,0.0781,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.7778498,40.82535827,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'56',10.74667163,40.86616073,16.74550491,0.0348,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.74667163,40.86616073,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'57',10.80393237,40.79721739,17.06150491,0.0409,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.80393237,40.79721739,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'58',10.79242603,40.81409316,18.62450491,0.1032,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.79242603,40.81409316,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'59',10.79232991,40.81489748,17.98150491,0.063,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.79232991,40.81489748,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'60',10.62903732,40.80275561,17.81750491,0.0914,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62903732,40.80275561,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'61',10.62992204,40.8029066,17.60950491,0.0819,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62992204,40.8029066,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'62',10.63626766,40.81637603,17.24950491,0.0301,'2094',10.63626617,40.81635391,17.57250491,0.0509,0.079735406,0.079735406,2,12.559822,0.99180865,0.99180865,0.99180865,1,1,2,10.636266915,40.81636497,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'64',10.62856711,40.82650081,16.37450491,0.0226,'5077',10.62852209,40.8264928,16.19050491,0.0242,0.12598321,0.12598321,2,12.456525,0.9896319,0.9896319,0.9896319,1,1,2,10.6285446,40.826496805,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.98803097,0,0
'64',10.62856711,40.82650081,16.37450491,0.0226,'5077',10.62852209,40.8264928,16.19050491,0.0242,0.12598321,0.12598321,2,12.456525,0.9896319,0.9896319,0.9896319,1,1,2,10.6285446,40.826496805,'5493',10.62849063,40.82649043,16.27450491,0.0231,0.14879985,0.14879985,2,12.3884535,0.98803097,0.98803097,0.98803097,1,1
'65',10.62141943,40.82570323,17.43650491,0.0636,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62141943,40.82570323,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'66',10.61943712,40.82961832,16.81550491,0.0371,'4005',10.61946273,40.82957693,16.87350491,0.0441,0.16452587,0.16452587,2,12.334955,0.9863285,0.9863285,0.9863285,1,1,2,10.619449925,40.829597625,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.99126464,0,0
'66',10.61943712,40.82961832,16.81550491,0.0371,'4005',10.61946273,40.82957693,16.87350491,0.0441,0.16452587,0.16452587,2,12.334955,0.9863285,0.9863285,0.9863285,1,1,2,10.619449925,40.829597625,'399',10.61941438,40.82959934,16.92950491,0.0378,0.09702004,0.09702004,2,12.526651,0.99126464,0.99126464,0.99126464,1,1
'70',10.59544696,40.8568087,17.41950491,0.0366,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59544696,40.8568087,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9832147,0,0
'70',10.59544696,40.8568087,17.41950491,0.0366,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59544696,40.8568087,'52',10.59539676,40.85677229,17.53150491,0.0724,0.18937862,0.18937862,2,12.239459,0.9832147,0.9832147,0.9832147,1,1
'71',10.59695424,40.8571817,16.66950491,0.0398,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59695424,40.8571817,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'72',10.59766199,40.85385932,17.27450491,0.0465,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59766199,40.85385932,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'73',10.60056154,40.85556975,18.24450491,0.0796,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.60056154,40.85556975,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'74',10.69744887,40.70774492,18.70150491,0.1154,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69744887,40.70774492,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'75',10.59863446,40.84786307,18.49150491,0.2474,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59863446,40.84786307,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'76',10.59980979,40.845122,17.93650491,0.1104,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.59980979,40.845122,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'77',10.61044519,40.85014333,17.22450491,0.0391,'2103',10.61044218,40.85015184,17.40150491,0.0502,0.03171354,0.03171354,2,12.61793,0.9928271,0.9928271,0.9928271,1,1,2,10.610443685,40.850147585,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'80',10.58493523,40.87170414,16.68050491,0.0371,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.58493523,40.87170414,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'81',10.70201601,40.71257964,18.14950491,0.0676,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70201601,40.71257964,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'82',10.58619332,40.86730303,16.66950491,0.0486,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.58619332,40.86730303,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'83',10.58724828,40.86724193,17.16950491,0.0572,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.58724828,40.86724193,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
