ID,RA,Dec,total_associations,ID_36_1,RA_36_1,Dec_36_1,mag_36_1,mag_err_36_1,ID_36_3,RA_36_3,Dec_36_3,mag_36_3,mag_err_36_3,sep_36_1_3,p_any_36_1_3,p_i_36_1_3,ID_36_4,RA_36_4,Dec_36_4,mag_36_4,mag_err_36_4,sep_36_1&3_4,p_any_36_1&3_4,p_i_36_1&3_4,36_associations,ID_45_1,RA_45_1,Dec_45_1,mag_45_1,mag_err_45_1,ID_45_3,RA_45_3,Dec_45_3,mag_45_3,mag_err_45_3,sep_45_1_3,p_any_45_1_3,p_i_45_1_3,ID_45_4,RA_45_4,Dec_45_4,mag_45_4,mag_err_45_4,sep_45_1&3_4,p_any_45_1&3_4,p_i_45_1&3_4,45_associations,sep_mean_36_mean_45,p_any_36_45,p_i_36_45
691,10.61750528,40.88487837,5,5951,10.6175687,40.88489362,16.22150491,0.0398,7846,10.61750652,40.88487276,16.29550491,0.0352,0.18514825,0.9662633,1,9999,9999,9999,9999,9999,9999,0,0,2,3397,10.61752806,40.88490011,16.54355224,0.052,6046,10.61746993,40.88485282,16.58055224,0.0419,0.23240931,0.9592374,1,6011,10.61742084,40.8848677,16.51955224,0.0388,0.21504168,0.96102774,1,3,0.17939638,0.9680943,1
692,10.63160355,40.87012628,6,5952,10.63165762,40.8701217,17.08050491,0.0581,592,10.63153026,40.87005149,17.19850491,0.0512,0.42906308,0.9182275,1,5626,10.63153003,40.87008325,16.92450491,0.0371,0.17439862,0.9674076,1,3,1360,10.63170401,40.87017231,17.26455224,0.0637,2626,10.63161275,40.870148,17.39055224,0.0852,0.26340088,0.95531213,1,9882,10.63158665,40.87018094,17.31755224,0.0715,0.20911601,0.96161187,1,3,0.3385803,0.94770837,1
693,10.62959219,40.87044152,5,5956,10.62960807,40.87044702,16.78350491,0.0509,644,10.6295925,40.87040614,17.11850491,0.0561,0.15315025,0.9684005,1,9999,9999,9999,9999,9999,9999,0,0,2,653,10.62959594,40.87048475,17.07555224,0.0736,1186,10.62960096,40.87046095,16.96255224,0.0525,0.086763,0.9691987,0.9999987,123,10.62955537,40.8704237,16.99955224,0.0621,0.21227685,0.96130335,1,3,0.116274424,0.971507,1
694,10.6169622,40.892822,6,5960,10.6168512,40.89283947,17.73850491,0.0611,575,10.61701183,40.89277052,17.55550491,0.0714,0.50269157,0.87977314,0.9994473,6640,10.61700019,40.89276421,17.68250491,0.0839,0.23766734,0.96186346,0.9998986,3,3433,10.61690365,40.89286719,17.30055224,0.0762,7281,10.61714995,40.89270948,17.40455224,0.0716,0.8784151,0.20971882,1,9785,10.61685636,40.89298115,18.68055224,0.1501,0.8348412,0.29695776,1,3,0.22438616,0.96439475,1
695,10.61790083,40.89387673,5,5961,10.61786305,40.89387752,17.14450491,0.0447,7465,10.61786793,40.89383373,17.18350491,0.0543,0.15820238,0.9680983,1,7454,10.61784342,40.89382796,17.21450491,0.0537,0.11630188,0.97057647,1,3,4245,10.61808307,40.89392895,17.36555224,0.075,9999,9999,9999,9999,9999,9999,0,0,2639,10.61780399,40.89388515,17.24355224,0.062,0.7756629,0.43385026,1,2,0.31886232,0.95158094,1
696,10.63951813,40.86302711,6,5962,10.63962741,40.86304836,16.99850491,0.0516,9987,10.63932758,40.86275048,18.59650491,0.1479,1.3477188,0.00041656,1,6333,10.63952402,40.8630181,17.00150491,0.0365,0.4456297,0.91209376,1,3,2019,10.63954209,40.86311502,17.53955224,0.0982,6096,10.63958292,40.86310507,17.72255224,0.0848,0.11679194,0.96813375,0.9968901,4590,10.63950478,40.8631256,17.73155224,0.0764,0.16683975,0.9661491,0.9693276,3,0.6490876,0.7272019,1
697,10.63190916,40.8739347,5,5963,10.63198129,40.87393329,16.85050491,0.0627,6277,10.63191519,40.87387588,16.93550491,0.067,0.27402765,0.9568836,1,7210,10.63191565,40.87389092,16.70450491,0.0597,0.10144138,0.97114855,1,3,6969,10.63189386,40.87397911,17.28055224,0.0598,9999,9999,9999,9999,9999,9999,0,0,6511,10.63186801,40.87395965,17.50055224,0.0642,0.09929458,0.9687065,1,2,0.29314858,0.95591664,1
698,10.62962276,40.88184556,5,5965,10.62969889,40.88183841,16.26750491,0.0223,9999,9999,9999,9999,9999,9999,0,0,5661,10.62960545,40.88179997,16.23250491,0.0294,0.2895381,0.95507014,1,2,2026,10.62965988,40.88187648,16.57555224,0.0397,459,10.62959949,40.88185934,16.47255224,0.0339,0.17557073,0.964542,1,2663,10.62952067,40.88187996,16.67555224,0.0436,0.2998733,0.9494129,1,3,0.24835029,0.9618819,1
699,10.63047656,40.8811816,4,5966,10.63048093,40.88120827,18.13050491,0.0687,9999,9999,9999,9999,9999,9999,0,0,4223,10.63042605,40.88121533,18.08450491,0.0678,0.1515217,0.9688453,1,2,2028,10.63057651,40.88115905,18.17155224,0.0819,8169,10.63042273,40.88114374,18.84955224,0.131,0.42217895,0.9154437,1,9999,9999,9999,9999,9999,9999,0,0,2,0.25110355,0.9615655,1
700,10.68572826,40.8152462,6,5972,10.68576564,40.81524994,17.12350491,0.0488,821,10.68576328,40.81516793,17.14950491,0.0358,0.295306,0.95364946,1,7527,10.6857783,40.81519065,17.30750491,0.0532,0.075861365,0.97193223,1,3,8309,10.68579998,40.81526661,18.43455224,0.1205,4098,10.68566505,40.81532011,18.33955224,0.1224,0.41502076,0.91829824,1,8139,10.68559731,40.81528198,18.71855224,0.1421,0.37064448,0.9331156,1,3,0.38332623,0.93674994,1
